Total Rows: 20
Proj[6537324b] Phase[functional_decomposition] AI_Len[266] Hum_Len[2]
Proj[7c71012d] Phase[risk_analysis] AI_Len[754] Hum_Len[2]
Proj[7c71012d] Phase[morphological_chart] AI_Len[5077] Hum_Len[5077]
Proj[7c71012d] Phase[functional_decomposition] AI_Len[655] Hum_Len[655]
Proj[8ac98ba0] Phase[risk_analysis] AI_Len[877] Hum_Len[2]
Proj[8ac98ba0] Phase[morphological_chart] AI_Len[4592] Hum_Len[4592]
Proj[8ac98ba0] Phase[functional_decomposition] AI_Len[552] Hum_Len[552]
Proj[cf65cbf5] Phase[morphological_chart] AI_Len[3480] Hum_Len[2]
Proj[cf65cbf5] Phase[functional_decomposition] AI_Len[657] Hum_Len[657]
Proj[37f69f75] Phase[functional_decomposition] AI_Len[308] Hum_Len[2]
Proj[6457282f] Phase[functional_decomposition] AI_Len[360] Hum_Len[2]
Proj[b6c5b789] Phase[functional_decomposition] AI_Len[310] Hum_Len[2]
Proj[fd001095] Phase[functional_decomposition] AI_Len[316] Hum_Len[2]
Proj[7d1a6c2b] Phase[functional_decomposition] AI_Len[313] Hum_Len[2]
Proj[f4aa084b] Phase[functional_decomposition] AI_Len[649] Hum_Len[2]
Proj[c37a9a0d] Phase[functional_decomposition] AI_Len[505] Hum_Len[2]
Proj[7b35f403] Phase[morphological_chart] AI_Len[2299] Hum_Len[2299]
Proj[7b35f403] Phase[functional_decomposition] AI_Len[254] Hum_Len[254]
Proj[18b21019] Phase[morphological_chart] AI_Len[1930] Hum_Len[1930]
Proj[18b21019] Phase[functional_decomposition] AI_Len[254] Hum_Len[254]
